Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAL,American Airlines Group Inc. Common Stock,$16.59,-0.36,-2.124%,10769566341.00,United States,,22566331,Transportation,Air Freight/Delivery Services
AAPL,Apple Inc. Common Stock,$170.09,-2.05,-1.191%,2948908160600.00,United States,1980,76513633,Technology,Computer Manufacturing
ABMD,ABIOMED Inc. Common Stock,$314.53,-2.99,-0.942%,14316210386.00,United States,,234887,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,$162.56,-3.35,-2.019%,96950622578.00,United States,2020,3447463,Transportation,Other Consumer Services
ACGL,Arch Capital Group Ltd. Common Stock,$48.32,0.96,2.027%,18291835826.00,Bermuda,,2125408,Finance,Property-Casualty Insurers
ADBE,Adobe Inc. Common Stock,$445.34,-7.38,-1.63%,210423150000.00,United States,1986,2260318,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$158.74,-2.51,-1.557%,83071043736.00,United States,,3024989,Technology,Semiconductors
ADSK,Autodesk Inc. Common Stock,$202.25,-2.52,-1.231%,43950537742.00,United States,,1420647,Technology,Computer Software: Prepackaged Software
AEP,American Electric Power Company Inc. Common Stock,$102.99,-0.38,-0.368%,51963279052.00,United States,,2179532,Public Utilities,Electric Utilities: Central
AFRM,Affirm Holdings Inc. Class A Common Stock,$37.58,-1.12,-2.894%,10689893121.00,United States,2021,5937058,Technology,EDP Services
AKAM,Akamai Technologies Inc. Common Stock,$118.36,-0.98,-0.821%,19044263665.00,United States,1999,927881,Miscellaneous,Business Services
ALGN,Align Technology Inc. Common Stock,$420.56,-1.62,-0.384%,33142328370.00,United States,2001,514388,Health Care,Industrial Specialties
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$163.42,1.17,0.721%,19727811060.00,United States,2004,686277,Health Care,Biotechnology: Pharmaceutical Preparations
AMAT,Applied Materials Inc. Common Stock,$119.96,-2.44,-1.993%,105972020894.00,United States,1972,6406354,Capital Goods,Industrial Machinery/Components
AMD,Advanced Micro Devices Inc. Common Stock,$101.00,-2.72,-2.622%,164363862475.00,United States,,92680837,Technology,Semiconductors
AMGN,Amgen Inc. Common Stock,$252.02,0.38,0.151%,134524446808.00,United States,1983,2745755,Health Care,Biotechnology: Pharmaceutical Preparations
AMZN,Amazon.com Inc. Common Stock,$3089.21,-66.48,-2.107%,1571927239816.00,United States,1997,2295078,Consumer Services,Catalog/Specialty Distribution
ANSS,ANSYS Inc. Common Stock,$303.05,-8.06,-2.591%,26373245968.00,United States,1996,365437,Technology,Computer Software: Prepackaged Software
APA,APA Corporation Common Stock,$43.02,2.02,4.927%,14924807843.00,United States,,6625223,Energy,Oil & Gas Production
