symbol,date,order_type,side,fees,quantity,average_price
COST,2022-03-09T18:51:09.862397Z,market,sell,0.00,0.28627900,524.17400000
COST,2022-03-09T16:36:35.945281Z,market,buy,0.00,0.28627900,525.81570000
VOO,2022-03-09T16:30:11.176020Z,market,sell,0.00,0.39751400,391.25670000
VOO,2022-03-09T14:05:58.224203Z,market,buy,0.00,0.26249800,389.64110000
MSFT,2022-03-08T14:30:00.752000Z,market,sell,0.00,1.00000000,278.09000000
VTI,2022-03-08T14:30:02.726505Z,market,sell,0.00,0.37530700,211.08050000
VOO,2022-03-08T14:39:49.077000Z,market,sell,0.00,1.00000000,384.97000000
VTI,2022-03-07T19:15:22.736246Z,market,buy,0.00,0.18255500,213.19600000
F,2022-03-04T15:19:41.538000Z,limit,buy,0.00,4.00000000,16.90000000
VOO,2022-03-04T18:01:24.927000Z,market,buy,0.00,1.00000000,398.02000000
TWTR,2022-03-04T14:31:59.977593Z,market,sell,0.00,0.13381200,33.92820000
TWTR,2022-03-02T21:28:48.540144Z,market,buy,0.00,0.13381200,34.75020000
NVDA,2022-03-02T21:27:51.699590Z,market,sell,0.00,0.01933400,240.50890000
VTI,2022-03-01T20:19:34.138151Z,market,buy,0.00,0.19275200,218.00030000
SPCE,2022-03-01T18:46:55.033000Z,market,sell,0.00,2.00000000,9.38000000
BAC,2022-03-01T18:33:01.121624Z,market,sell,0.00,0.43459800,42.01580000
MSFT,2022-03-01T16:49:31.362000Z,limit,buy,0.00,1.00000000,295.00000000
VOO,2022-02-28T21:04:50.912680Z,market,buy,0.00,0.05470500,401.42580000
F,2022-02-28T19:17:24.358000Z,market,sell,0.00,1.00000000,17.28000000
F,2022-02-28T19:16:23.691018Z,market,sell,0.00,0.27110300,17.26280000
VOO,2022-02-25T17:12:46.065999Z,market,buy,0.00,0.08031100,400.81680000
SPCE,2022-02-24T20:14:22.269000Z,market,buy,0.00,2.00000000,8.90500000
BAC,2022-02-24T17:06:30.258178Z,market,sell,0.00,1.17050900,42.71650000
F,2022-02-23T15:52:07.497874Z,market,buy,0.00,1.27110300,17.34710000
BABA,2022-02-23T15:47:25.926666Z,market,sell,0.00,0.19739400,111.70550000
BAC,2022-02-17T19:58:56.448782Z,market,buy,0.00,1.08236800,46.19500000
BABA,2022-02-16T14:58:26.825594Z,market,buy,0.00,0.19739400,126.65030000
BAC,2022-02-16T14:37:24.925451Z,market,buy,0.00,0.52273900,47.82500000
